page	family	priority	r4Url	r6Url	whyReview
versions.html	release-policy	High	https://hl7.org/fhir/R4/versions.html	https://hl7.org/fhir/6.0.0-ballot4/versions.html	Inter-version change policy, maturity rules, and compatibility expectations.
history.html	release-policy	Medium	https://hl7.org/fhir/R4/history.html	https://hl7.org/fhir/6.0.0-ballot4/history.html	Release history and version context for interpreting removals, renames, and normative/stability claims.
ballot-intro.html	release-policy	Medium		https://hl7.org/fhir/6.0.0-ballot4/ballot-intro.html	R6 ballot framing and roadmap. R4 has no matching page.
downloads.html	release-policy	Low	https://hl7.org/fhir/R4/downloads.html	https://hl7.org/fhir/6.0.0-ballot4/downloads.html	Published package/download provenance and generated-version metadata.
toc.html	navigation	Low	https://hl7.org/fhir/R4/toc.html	https://hl7.org/fhir/6.0.0-ballot4/toc.html	Rendered page inventory and navigation changes.
modules.html	navigation	Low	https://hl7.org/fhir/R4/modules.html	https://hl7.org/fhir/6.0.0-ballot4/modules.html	Module-level organization that may signal moved behavior or documentation ownership.
documentation.html	navigation	Low	https://hl7.org/fhir/R4/documentation.html	https://hl7.org/fhir/6.0.0-ballot4/documentation.html	Top-level documentation structure and implementation guidance.
formats.html	serialization	High	https://hl7.org/fhir/R4/formats.html	https://hl7.org/fhir/6.0.0-ballot4/formats.html	Cross-format serialization rules that affect HTTP payload compatibility.
json.html	serialization	High	https://hl7.org/fhir/R4/json.html	https://hl7.org/fhir/6.0.0-ballot4/json.html	JSON representation rules for instances, Bundles, and Parameters.
xml.html	serialization	Medium	https://hl7.org/fhir/R4/xml.html	https://hl7.org/fhir/6.0.0-ballot4/xml.html	XML representation rules and schema/codegen notes.
references.html	model-semantics	High	https://hl7.org/fhir/R4/references.html	https://hl7.org/fhir/6.0.0-ballot4/references.html	Reference, canonical, literal/logical reference, and containment behavior.
datatypes.html	model-semantics	Medium	https://hl7.org/fhir/R4/datatypes.html	https://hl7.org/fhir/6.0.0-ballot4/datatypes.html	Datatype overview prose that can alter interpretation beyond individual StructureDefinitions.
resource.html	model-semantics	High	https://hl7.org/fhir/R4/resource.html	https://hl7.org/fhir/6.0.0-ballot4/resource.html	Base Resource narrative and inherited behavior ownership.
domainresource.html	model-semantics	High	https://hl7.org/fhir/R4/domainresource.html	https://hl7.org/fhir/6.0.0-ballot4/domainresource.html	DomainResource narrative, contained resources, text, and extension context.
structuredefinition.html	profiling	Medium	https://hl7.org/fhir/R4/structuredefinition.html	https://hl7.org/fhir/6.0.0-ballot4/structuredefinition.html	Definition/profiling metadata that affects validators and code generation.
profiling.html	profiling	Medium	https://hl7.org/fhir/R4/profiling.html	https://hl7.org/fhir/6.0.0-ballot4/profiling.html	Profile, slicing, and conformance rules outside resource-specific diffs.
extensibility.html	profiling	Medium	https://hl7.org/fhir/R4/extensibility.html	https://hl7.org/fhir/6.0.0-ballot4/extensibility.html	Extension/modifierExtension rules and less-breaking extension alternatives.
http.html	rest	High	https://hl7.org/fhir/R4/http.html	https://hl7.org/fhir/6.0.0-ballot4/http.html	RESTful API interactions, URL shapes, headers, status codes, conditional operations, history, patch, batch, and transaction.
async.html	rest	High	https://hl7.org/fhir/R4/async.html	https://hl7.org/fhir/6.0.0-ballot4/async.html	Asynchronous request pattern, polling, cancellation, and response representation.
security.html	rest	Medium	https://hl7.org/fhir/R4/security.html	https://hl7.org/fhir/6.0.0-ballot4/security.html	Authentication, authorization, audit, and transport security behavior when HTTP semantics are affected.
bundle.html	rest	High	https://hl7.org/fhir/R4/bundle.html	https://hl7.org/fhir/6.0.0-ballot4/bundle.html	Transaction, batch, history, document/message, and searchset response behavior.
binary.html	rest	Medium	https://hl7.org/fhir/R4/binary.html	https://hl7.org/fhir/6.0.0-ballot4/binary.html	Raw binary content behavior and content-type handling.
parameters.html	rest	High	https://hl7.org/fhir/R4/parameters.html	https://hl7.org/fhir/6.0.0-ballot4/parameters.html	Operation input/output envelope behavior.
